                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.24478,                 1.1076,                0.89051,                0.93966,                0.95476,                  0.995,                0.98875,                0.21157,                  1.961,                0.64539,              0.0003268,              0.0003268,              0.0003268
                     37,                0.27407,                 1.1059,                0.89978,                0.95153,                0.95855,                  0.995,                0.98875,                 0.2292,                 1.5596,                0.66004,               0.000307,               0.000307,               0.000307
                     38,                0.21654,                 2.4905,                0.79681,                0.95073,                0.95713,                  0.995,                0.98875,                0.21313,                 1.5113,                 0.6516,              0.0002872,              0.0002872,              0.0002872
                     39,                0.26925,                  1.274,                0.89108,                0.92343,                  0.982,                  0.995,                0.98875,                0.21748,                 1.7084,                0.64795,              0.0002674,              0.0002674,              0.0002674
                     40,                0.25079,                  1.026,                0.89854,                0.97203,                0.99337,                  0.995,                  0.995,                0.21881,                  1.702,                0.65125,              0.0002476,              0.0002476,              0.0002476
                     41,                0.20397,                 1.1885,                0.81268,                0.96196,                0.99132,                  0.995,                0.98875,                0.20893,                 1.8218,                0.64777,              0.0002278,              0.0002278,              0.0002278
                     42,                0.21173,                 1.2513,                0.87768,                0.98293,                      1,                  0.995,                  0.995,                0.21058,                 1.8419,                0.63199,               0.000208,               0.000208,               0.000208
                     43,                0.19943,                 1.1626,                0.83825,                0.98786,                      1,                  0.995,                  0.995,                0.18686,                 1.5221,                0.61734,              0.0001882,              0.0001882,              0.0001882
                     44,                0.19863,                 1.0417,                0.79704,                0.98583,                      1,                  0.995,                0.98773,                0.17684,                 1.4362,                0.61777,              0.0001684,              0.0001684,              0.0001684
                     45,                0.18726,                 1.0666,                0.79201,                0.97314,                0.99382,                  0.995,                  0.995,                0.17693,                  1.438,                0.61478,              0.0001486,              0.0001486,              0.0001486
                     46,                 0.1626,                 1.0859,                0.79741,                0.98276,                0.97052,                  0.995,                  0.995,                0.18805,                 1.5765,                0.62307,              0.0001288,              0.0001288,              0.0001288
                     47,                0.17577,                 1.0772,                0.80207,                0.97081,                0.99359,                  0.995,                  0.995,                0.18818,                 1.5498,                0.62876,               0.000109,               0.000109,               0.000109
                     48,                0.17108,                 1.0092,                0.79925,                0.98473,                      1,                  0.995,                  0.995,                0.18549,                 1.4563,                0.62791,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.16287,                0.97498,                0.82998,                0.98753,                      1,                  0.995,                0.98773,                0.18681,                 1.4619,                 0.6225,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.16414,                0.99487,                0.81188,                0.98826,                      1,                  0.995,                  0.995,                 0.1851,                 1.4454,                0.61943,               4.96e-05,               4.96e-05,               4.96e-05
