                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72489,                0.36882,                0.93055,                0.93178,                0.89977,                0.95943,                0.74528,                0.91359,                0.48876,                 1.0289,               0.006535,               0.006535,               0.006535
                     37,                0.73014,                0.36751,                0.93538,                0.91205,                0.91142,                0.95479,                0.73644,                0.93094,                 0.4914,                 1.0528,               0.006436,               0.006436,               0.006436
                     38,                0.71506,                0.36942,                0.92991,                0.93132,                0.90084,                  0.955,                0.74023,                 0.9214,                0.48942,                 1.0414,               0.006337,               0.006337,               0.006337
                     39,                0.71515,                0.36186,                0.93399,                0.90785,                0.91863,                0.95843,                 0.7424,                0.91333,                0.48433,                  1.036,               0.006238,               0.006238,               0.006238
                     40,                0.70487,                0.35743,                0.92043,                0.91594,                0.90163,                0.95112,                0.74494,                0.89704,                0.52289,                 1.0184,               0.006139,               0.006139,               0.006139
                     41,                0.70759,                0.35593,                0.91618,                0.91033,                0.90967,                 0.9491,                0.73658,                0.92509,                0.49702,                  1.033,                0.00604,                0.00604,                0.00604
                     42,                0.68969,                0.34647,                0.91228,                 0.9138,                0.91492,                0.96057,                0.73688,                0.94934,                0.50181,                 1.0489,               0.005941,               0.005941,               0.005941
                     43,                0.69287,                0.33997,                0.91284,                0.91313,                0.91259,                0.95653,                0.74476,                0.92234,                0.47684,                 1.0384,               0.005842,               0.005842,               0.005842
                     44,                0.67725,                0.33794,                0.92205,                0.92926,                 0.8852,                0.95267,                0.72816,                0.92975,                0.51613,                 1.0518,               0.005743,               0.005743,               0.005743
                     45,                0.68185,                0.33603,                0.91071,                0.90294,                0.91958,                0.95337,                0.73347,                 0.9304,                0.49498,                 1.0455,               0.005644,               0.005644,               0.005644
                     46,                0.67779,                0.33456,                0.91228,                0.90844,                0.92016,                0.95803,                 0.7379,                0.92108,                0.48576,                  1.036,               0.005545,               0.005545,               0.005545
